id,p_choices,prediction,cost
0,1,1,10
0,2,2,30
0,2,2,50
0,2,2,70
0,2,2,90
0,2,2,110
0,2,2,130
0,2,2,150
0,2,2,170
0,2,2,190
2,1,1,10
2,1,1,30
2,1,1,50
2,1,2,70
2,2,2,90
2,2,2,110
2,2,2,130
2,2,2,150
2,2,2,170
2,2,2,190
3,1,1,10
3,1,1,30
3,2,2,50
3,2,2,70
3,2,2,90
3,2,2,110
3,2,2,130
3,2,2,150
3,2,2,170
3,2,2,190
5,1,1,10
5,1,1,30
5,2,2,50
5,2,2,70
5,2,2,90
5,2,2,110
5,2,2,130
5,2,2,150
5,2,2,170
5,2,2,190
8,1,1,10
8,1,1,30
8,1,1,50
8,1,1,70
8,1,1,90
8,2,2,110
8,2,2,130
8,2,2,150
8,2,2,170
8,2,2,190
9,1,1,10
9,1,1,30
9,1,1,50
9,1,1,70
9,1,1,90
9,2,2,110
9,2,2,130
9,2,2,150
9,2,2,170
9,2,2,190
11,1,1,10
11,1,1,30
11,1,2,50
11,2,2,70
11,2,2,90
11,2,2,110
11,2,2,130
11,2,2,150
11,2,2,170
11,2,2,190
12,1,1,10
12,1,1,30
12,1,1,50
12,2,2,70
12,2,2,90
12,2,2,110
12,2,2,130
12,2,2,150
12,2,2,170
12,2,2,190
13,1,1,10
13,1,1,30
13,1,1,50
13,1,1,70
13,1,2,90
13,2,2,110
13,2,2,130
13,2,2,150
13,2,2,170
13,2,2,190
14,1,1,10
14,1,1,30
14,1,1,50
14,2,2,70
14,2,2,90
14,2,2,110
14,2,2,130
14,2,2,150
14,2,2,170
14,2,2,190
15,1,1,10
15,1,1,30
15,1,1,50
15,2,2,70
15,2,2,90
15,2,2,110
15,2,2,130
15,2,2,150
15,2,2,170
15,2,2,190
16,1,1,10
16,1,1,30
16,1,1,50
16,1,1,70
16,1,1,90
16,1,1,110
16,1,1,130
16,2,2,150
16,2,2,170
16,2,2,190
17,1,1,10
17,1,1,30
17,1,1,50
17,1,1,70
17,1,2,90
17,2,2,110
17,2,2,130
17,2,2,150
17,2,2,170
17,2,2,190
18,1,1,10
18,1,1,30
18,1,1,50
18,1,1,70
18,1,1,90
18,2,2,110
18,2,2,130
18,2,2,150
18,2,2,170
18,2,2,190
19,1,1,10
19,1,1,30
19,1,1,50
19,2,1,70
19,2,2,90
19,2,2,110
19,2,2,130
19,2,2,150
19,2,2,170
19,2,2,190
20,1,1,10
20,1,1,30
20,1,1,50
20,1,1,70
20,1,1,90
20,1,1,110
20,2,2,130
20,2,2,150
20,2,2,170
20,2,2,190
21,1,1,10
21,1,1,30
21,1,1,50
21,1,1,70
21,1,1,90
21,1,2,110
21,2,2,130
21,2,2,150
21,2,2,170
21,2,2,190
