,id,p_choices,prediction
0,0,1,1
1,0,2,2
2,0,2,2
3,0,2,2
4,0,2,2
5,0,2,2
6,0,2,2
7,0,2,2
8,0,2,2
9,0,2,2
10,1,1,2
11,1,1,2
12,1,1,2
13,1,2,2
14,1,1,1
15,1,1,1
16,1,1,1
17,1,2,2
18,1,2,2
19,1,2,2
20,2,1,1
21,2,1,1
22,2,1,1
23,2,1,2
24,2,2,2
25,2,2,2
26,2,2,2
27,2,2,2
28,2,2,2
29,2,2,2
30,3,1,1
31,3,1,1
32,3,2,2
33,3,2,2
34,3,2,2
35,3,2,2
36,3,2,2
37,3,2,2
38,3,2,2
39,3,2,2
40,4,1,1
41,4,1,2
42,4,2,2
43,4,2,2
44,4,2,2
45,4,2,2
46,4,1,1
47,4,2,2
48,4,2,2
49,4,2,2
50,5,1,1
51,5,1,1
52,5,2,2
53,5,2,2
54,5,2,2
55,5,2,2
56,5,2,2
57,5,2,2
58,5,2,2
59,5,2,2
60,6,2,1
61,6,2,1
62,6,1,1
63,6,2,2
64,6,2,2
65,6,2,2
66,6,2,2
67,6,2,2
68,6,2,2
69,6,2,2
70,7,2,1
71,7,1,2
72,7,2,2
73,7,2,2
74,7,2,2
75,7,2,2
76,7,2,2
77,7,2,2
78,7,2,2
79,7,2,2
80,8,1,1
81,8,1,1
82,8,1,1
83,8,1,1
84,8,1,1
85,8,2,2
86,8,2,2
87,8,2,2
88,8,2,2
89,8,2,2
90,9,1,1
91,9,1,1
92,9,1,1
93,9,1,1
94,9,1,1
95,9,2,2
96,9,2,2
97,9,2,2
98,9,2,2
99,9,2,2
100,10,1,1
101,10,2,2
102,10,1,1
103,10,1,1
104,10,1,1
105,10,2,2
106,10,2,2
107,10,2,2
108,10,2,2
109,10,2,2
110,11,1,1
111,11,1,1
112,11,1,2
113,11,2,2
114,11,2,2
115,11,2,2
116,11,2,2
117,11,2,2
118,11,2,2
119,11,2,2
120,12,1,1
121,12,1,1
122,12,1,1
123,12,2,2
124,12,2,2
125,12,2,2
126,12,2,2
127,12,2,2
128,12,2,2
129,12,2,2
130,13,1,1
131,13,1,1
132,13,1,1
133,13,1,1
134,13,1,2
135,13,2,2
136,13,2,2
137,13,2,2
138,13,2,2
139,13,2,2
140,14,1,1
141,14,1,1
142,14,1,1
143,14,2,2
144,14,2,2
145,14,2,2
146,14,2,2
147,14,2,2
148,14,2,2
149,14,2,2
150,15,1,1
151,15,1,1
152,15,1,1
153,15,2,2
154,15,2,2
155,15,2,2
156,15,2,2
157,15,2,2
158,15,2,2
159,15,2,2
160,16,1,1
161,16,1,1
162,16,1,1
163,16,1,1
164,16,1,1
165,16,1,1
166,16,1,1
167,16,2,2
168,16,2,2
169,16,2,2
170,17,1,1
171,17,1,1
172,17,1,1
173,17,1,1
174,17,1,2
175,17,2,2
176,17,2,2
177,17,2,2
178,17,2,2
179,17,2,2
180,18,1,1
181,18,1,1
182,18,1,1
183,18,1,1
184,18,1,1
185,18,2,2
186,18,2,2
187,18,2,2
188,18,2,2
189,18,2,2
190,19,1,1
191,19,1,1
192,19,1,1
193,19,2,1
194,19,2,2
195,19,2,2
196,19,2,2
197,19,2,2
198,19,2,2
199,19,2,2
200,20,1,1
201,20,1,1
202,20,1,1
203,20,1,1
204,20,1,1
205,20,1,1
206,20,2,2
207,20,2,2
208,20,2,2
209,20,2,2
210,21,1,1
211,21,1,1
212,21,1,1
213,21,1,1
214,21,1,1
215,21,1,2
216,21,2,2
217,21,2,2
218,21,2,2
219,21,2,2
